source_id,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,enabled
cau_061,중앙대 패션전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_062,중앙대 피아노전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_063,중앙대 한국화전공,https://arts.cau.ac.kr/user-datas/ko/notice_list.asp,https://arts.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_064,중앙대 의학부,https://med.cau.ac.kr/site/program/board/basicboard/list.do?menuid=001002001001&boardtypeid=3,https://med.cau.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_065,중앙대 국어국문학과,https://koll.cau.ac.kr/board/u-notice/,https://koll.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_066,중앙대 독일어문학전공,https://germania.cau.ac.kr/cm/cm_1.php,https://germania.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_067,중앙대 러시아어문학전공,https://caurussia.cau.ac.kr/dm/dm_1.php,https://caurussia.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_068,중앙대 역사학과,https://history.cau.ac.kr/01_notice/notice_01a.asp,https://history.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_069,중앙대 영어영문학과,http://english.cau.ac.kr/bbs/list.php?wcode=01,http://english.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_070,중앙대 일본어문학전공,https://caujapanese.kr/notice,https://caujapanese.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_071,중앙대 중국어문학전공,https://ccll.cau.ac.kr/dm/dm_1.php,https://ccll.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_072,중앙대 철학과,http://spacl.dsso.kr/bbs/board.php?bo_table=sub2_4,http://spacl.dsso.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_073,중앙대 프랑스어문학전공,https://caufrance.cau.ac.kr/em/em_1.php,https://caufrance.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_074,중앙대 물리학과,https://physics.cau.ac.kr/FM/fm_6.php,https://physics.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_075,중앙대 생명과학과,https://bio.cau.ac.kr/sub4.php?sca=%ED%95%99%EB%B6%80,https://bio.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_076,중앙대 수학과,https://math.cau.ac.kr/notice/notice.php,https://math.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_077,중앙대 화학과,https://chem.cau.ac.kr/eng/board.php?selected=notice,https://chem.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_078,중앙대 간호학과,https://nursing.cau.ac.kr/bbs/board.php?tbl=bbs71,https://nursing.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_079,중앙대 융합공학부,https://ie.cau.ac.kr/sch_5/notice.php,https://ie.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_080,중앙대 지능형반도체공학부,https://isemi.cau.ac.kr/fm/fm_1.php,https://isemi.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_081,중앙대 전자전기공학부,https://e3home.cau.ac.kr/em/em_1.php,https://e3home.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_082,중앙대 골프전공,http://sport.cau.ac.kr/u2_notice,http://sport.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_083,중앙대 생활·레저스포츠전공,http://sport.cau.ac.kr/u2_notice,http://sport.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
cau_084,중앙대 스포츠산업전공,http://sport.cau.ac.kr/u2_notice,http://sport.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true
