source_id,university_slug,university_id,college_id,department_id,org_unit_id,college_name,department_name,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled
yonsei_046,yonsei,3,50,,43,음악대학,,college,연세대 음악대학,https://music.yonsei.ac.kr/music/community/notice.do,https://music.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_051,yonsei,3,51,,44,생활과학대학,,college,연세대 생활과학대학,https://che.yonsei.ac.kr/che/community_che/notice.do,https://che.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_056,yonsei,3,52,125,337,교육과학대학,교육학부,department,연세대 교육학부,https://edu.yonsei.ac.kr/edu/community/notice.do,https://edu.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_057,yonsei,3,52,126,339,교육과학대학,체육교육학과,department,연세대 체육교육학과,https://ped.yonsei.ac.kr/board/departmentnews,https://ped.yonsei.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_058,yonsei,3,52,127,338,교육과학대학,스포츠응용산업학과,department,연세대 스포츠응용산업학과,https://sportindustrystudies.yonsei.ac.kr/ysis/search/notice.do,https://sportindustrystudies.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_059,yonsei,3,,,1127,학부대학,진리자유학부,college,연세대 학부대학 진리자유학부 (1학년 공통),https://universitycollege.yonsei.ac.kr/uc/notice/student-notice.do,https://universitycollege.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_060,yonsei,3,53,,46,언더우드국제대학,,college,연세대 언더우드국제대학,https://uic.yonsei.ac.kr/main/news.php?mid=m06_01_01,https://uic.yonsei.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_064,yonsei,3,54,,47,글로벌인재대학,글로벌인재학부,college,연세대 글로벌인재학부,https://glc.yonsei.ac.kr/notice/,https://glc.yonsei.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_065,yonsei,3,55,,48,의과대학,의예과 / 의학과,college,연세대 의예과 / 의학과,https://medicine.yonsei.ac.kr/medicine/news/notice.do,https://medicine.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_066,yonsei,3,56,,49,치과대학,치의예과 / 치의학과,college,연세대 치의예과 / 치의학과,https://dentistry.yonsei.ac.kr/dentistry/news/notice.do,https://dentistry.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_067,yonsei,3,57,154,366,간호대학,간호학과,department,연세대 간호학과,https://nursingcollege.yonsei.ac.kr/nursing/about/gallery.do,https://nursingcollege.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_068,yonsei,3,58,155,367,약학대학,약학과,department,연세대 약학과,https://pharmacy.yonsei.ac.kr/pharmacy/community/notice.do,https://pharmacy.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_069,yonsei,3,,,2,,,university,연세대 학생지원팀 장학공지,https://www.yonsei.ac.kr/sc/254/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGc2MlMkY1OCUyRmFydGNsTGlzdC5kbyUzRmZpbmRDbFNlcSUzRDI1NyUyNg%3D%3D,https://www.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",artclView,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_070,yonsei,3,41,,34,문과대학,,college,연세대 문과대학,https://libart.yonsei.ac.kr/libart/board/notice.do,https://libart.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_071,yonsei,3,45,,38,공과대학,,college,연세대 공과대학,https://engineering.yonsei.ac.kr/engineering/board/notice.do,https://engineering.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_072,yonsei,3,42,,35,상경대학,,college,연세대 상경대학,https://yce.yonsei.ac.kr/ybe/notice/notice.do,https://yce.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
yonsei_073,yonsei,3,49,,42,사회과학대학,,college,연세대 사회과학대학,https://socsci.yonsei.ac.kr/socsci/community/notice.do,https://socsci.yonsei.ac.kr,"tbody tr, .board-list li, .notice-list li",a[href],a[href],"td:last-child, .date, .board-date, .wr_date, time",,".date, .board-date, .wr_date, time",(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+|wr_id=\d+|b_idx=\d+|seq=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
